PDAcroForm,SimplexTableau,BundleRevisionImpl,PolygonsSet,PolyhedronsSet,MathUtils,ArgumentMatchingTool,Invocation,ResourceUser,ClassUtils,ReturnsEmptyValues,BisectionSolver,Node,PDICCBased,ClassUtilsTest,Pointers,PDAcroFrom2995,DefaultIntervalCategoryDataset,DETECT_CYCLE_TEST,Matchers,DETECT_CYCLE,CategoryPlot,LocaleUtils,DatasetUtilities,Hello,CollatingIterator,SubLine-b,ExceptionClient,TypeCheck,REVERSE_LINKED_LIST,StringUtils,ExceptionThrower,XYPlot,SubLine,Resource,ContentDispositionFilter,StrBuilder,Resources,RuntimeNullPointer,NullReferenceException,REVERSE_LINKED_LIST_TEST,FilterListIterator
0.0,1.0435054260256917e+20,1.0435054260252939e+20,1.0103697841688848e+20,1.2511190542201425e+20,1.1666745337410714e+20,1.5975348984885802e+20,1.2236185739226078e+20,1.863029828680797e+20,1.1068046444207599e+20,1.5543502839206094e+20,1.576090504541667e+20,1.7106806702284702e+20,1.2374452113690601e+20,1.730457982407e+20,1.853874835541552e+20,3.689348814728786e+19,1.2780279187931682e+20,1.7979662081680048e+20,1.4048621740710076e+20,1.8354278608731354e+20,8.040749325462864e+19,1.440736769227912e+20,1.1220716365743931e+20,1.6805783663450584e+20,1.2912720851569307e+20,1.5975348984890363e+20,1.908146044196378e+20,8.249634742466154e+19,1.881206159868174e+20,7.826290695195078e+19,1.9434850842560863e+20,5.833372668711433e+19,1.4407367692294236e+20,1.899208542869246e+20,1.1954856507143615e+20,1.0756207731025088e+20,1.8630298286817313e+20,1.8354278608732458e+20,1.960915792699863e+20,1.7884781936115273e+20,1.5211574852895248e+20
1.55435028392283e+20,0.0,1.380427924504669e+20,1.291272085158665e+20,1.5211574852910943e+20,1.5211574852908994e+20,1.797966208171596e+20,1.5433653386157516e+20,1.9347108404320636e+20,1.4288786517824373e+20,1.730457982409872e+20,1.8074044158462444e+20,1.881206159873719e+20,1.5975348984921178e+20,1.8446744073623064e+20,1.925896622195745e+20,1.5760905045445607e+20,1.521157485290592e+20,1.925896622199226e+20,1.639582476933292e+20,1.9434850842673142e+20,1.027071242638053e+20,1.7007057707940236e+20,1.4407367692309555e+20,1.8446744073655088e+20,1.5652581390366192e+20,1.7789395752369055e+20,1.9695732996822588e+20,1.1220716365748866e+20,1.969573299687568e+20,1.091324096784385e+20,2.0375094788328033e+20,8.249634742469648e+19,1.660206966630627e+20,1.960915792721944e+20,1.5211574852908204e+20,1.380427924505425e+20,1.943485084270493e+20,1.9258966221959083e+20,2.0541424852399994e+20,1.8992085428737104e+20,1.7402623553885684e+20
1.4407367692301887e+20,1.209633902367851e+20,0.0,1.1811679408000673e+20,1.3680471549112915e+20,1.2780279187935225e+20,1.7402623553867645e+20,1.4048621740714603e+20,1.9609157927266022e+20,1.2646450587115894e+20,1.66020696662885e+20,1.7205977427026205e+20,1.8992085428759436e+20,1.4524980808607148e+20,1.8354278608780857e+20,1.9258966221964932e+20,1.4169212980359153e+20,1.4169212980358329e+20,1.9170418781834376e+20,1.5975348984920385e+20,1.9347108404307322e+20,9.037022079255691e+19,1.618695223096901e+20,1.291272085158361e+20,1.7597072310364737e+20,1.5211574852899658e+20,1.7007057707929957e+20,1.9695732996829528e+20,1.0435054260259815e+20,1.9609157927235797e+20,8.846747673113035e+19,2.020739568314515e+20,8.453360104322433e+19,1.576090504543891e+20,1.9609157927226432e+20,1.3804279245046904e+20,1.1811679407998729e+20,1.9347108404337125e+20,1.9347108404307788e+20,2.0624086855816246e+20,1.8630298286819403e+20,1.6499269484905418e+20
1.543365338615012e+20,1.368047154911447e+20,1.4641649195346962e+20,0.0,1.3173610254182731e+20,1.5211574852908902e+20,1.8261344955402365e+20,1.5211574852905504e+20,1.9522198927038323e+20,1.4757395258945718e+20,1.7007057707931297e+20,1.78847819361466e+20,1.86302982868264e+20,1.5433653386153066e+20,1.8446744073619957e+20,1.9434850842669626e+20,1.5543502839227653e+20,1.5868489263966752e+20,1.925896622198901e+20,1.6602069666309525e+20,1.9170418781790172e+20,1.01036978416911e+20,1.720597742703229e+20,1.42887865178294e+20,1.8261344955406867e+20,1.608149865089859e+20,1.8074044158459816e+20,1.9609157927173403e+20,1.1954856507153406e+20,1.934710840428736e+20,1.1220716365751104e+20,2.0207395683135694e+20,8.040749325463616e+19,1.6602069666306166e+20,1.9781929176724315e+20,1.487224053389177e+20,1.4048621740718398e+20,1.9258966221986677e+20,1.925896622195546e+20,2.0207395683012565e+20,1.8721400533204278e+20,1.710680670232048e+20
1.4288786517820654e+20,1.1519987981715331e+20,1.3429432395586629e+20,1.0103697841684652e+20,0.0,1.3302136324606514e+20,1.7500118006080697e+20,1.4641649195346367e+20,1.8812061598706264e+20,1.3680471549108067e+20,1.660206966628689e+20,1.629172324207449e+20,1.797966208169405e+20,1.4641649195344734e+20,1.7789395752343093e+20,1.9170418781797178e+20,1.4288786517821014e+20,1.4169212980353794e+20,1.8721400533207053e+20,1.532301645155594e+20,1.8812061598683736e+20,8.846747673113803e+19,1.629172324208982e+20,1.2374452113691286e+20,1.76934953461815e+20,1.4872240533883037e+20,1.660206966628082e+20,1.943485084261616e+20,1.0270712426379662e+20,1.8902287831411032e+20,9.761099463574182e+19,2.0038293164756746e+20,6.651068162309838e+19,1.509931077354594e+20,1.8992085428682103e+20,1.3680471549111062e+20,1.2780279187944091e+20,1.8721400533204605e+20,1.908146044201827e+20,2.012302205487396e+20,1.835427860876352e+20,1.586848926395498e+20
1.4986205729508432e+20,1.1811679407996404e+20,1.4048621740714915e+20,1.0756207731024178e+20,1.3804279245049877e+20,0.0,1.6906720208590802e+20,1.3804279245044567e+20,1.8630298286798992e+20,1.2646450587116696e+20,1.63958247693076e+20,1.6704237213155233e+20,1.8261344955385237e+20,1.3429432395583894e+20,1.7789395752342906e+20,1.8992085428703134e+20,1.4641649195344925e+20,1.4169212980354205e+20,1.8538748355441905e+20,1.5760905045445657e+20,1.8902287831423245e+20,9.585209390961713e+19,1.6081498650888638e+20,1.209633902367486e+20,1.720597742702627e+20,1.5211574852896486e+20,1.7106806702307875e+20,1.952219892696404e+20,1.0756207731025571e+20,1.8992085428694385e+20,8.846747673114444e+19,2.0123022054999536e+20,7.826290695197601e+19,1.5433653386148486e+20,1.9258966221945137e+20,1.392698636261381e+20,1.166674533741718e+20,1.826134495536024e+20,1.8630298286777703e+20,1.995320448656207e+20,1.8074044158421533e+20,1.6291723242096106e+20
9.0370220792462e+19,5.534023222108065e+19,7.378697629475326e+19,5.217527130128322e+19,8.453360104314785e+19,7.3786976294730875e+19,0.0,6.902139622520214e+19,1.6081498650844368e+20,6.651068162300775e+19,1.1811679407976466e+20,1.2374452113661924e+20,1.4407367692255855e+20,8.453360104314113e+19,1.4169212980316806e+20,1.6395824769255073e+20,8.846747673104787e+19,7.378697629471916e+19,1.5652581390324292e+20,1.0435054260251899e+20,1.6602069666233955e+20,3.195069796987179e+19,1.0270712426357693e+20,6.651068162306052e+19,1.3302136324588654e+20,9.03702207923983e+19,1.209633902364683e+20,1.7884781936040572e+20,5.5340232221083e+19,1.7205977426966813e+20,4.124817371233759e+19,1.853874835531898e+20,3.195069796987293e+19,1.0270712426362434e+20,1.6704237213075466e+20,6.902139622524525e+19,6.902139622526393e+19,1.576090504539125e+20,1.639582476925116e+20,1.93471084040911e+20,1.5433653386103643e+20,1.091324096782229e+20
1.2780279187933058e+20,1.0435054260256922e+20,1.1666745337413462e+20,1.0103697841687886e+20,1.0913240967829416e+20,1.2646450587117666e+20,1.639582476930152e+20,0.0,1.8902287831448833e+20,1.2236185739223764e+20,1.5433653386128877e+20,1.5760905045413023e+20,1.759707231033766e+20,1.3555533118870379e+20,1.7500118006058815e+20,1.8354278608727923e+20,1.2780279187932653e+20,1.2912720851575294e+20,1.8167935928711083e+20,1.475739525894424e+20,1.8446744073576186e+20,7.3786976294797935e+19,1.4524980808583443e+20,1.1519987981716763e+20,1.6704237213158018e+20,1.342943239557558e+20,1.5975348984889613e+20,1.9258966221905324e+20,8.846747673110199e+19,1.8812061598678247e+20,8.24963474246714e+19,1.952219892690514e+20,5.8333726687116075e+19,1.4524980808600524e+20,1.8630298286762204e+20,1.209633902367482e+20,9.585209390955898e+19,1.8721400533210127e+20,1.8074044158384377e+20,1.9953204486565337e+20,1.7884781936112805e+20,1.5211574852892348e+20
5.833372668707706e+19,5.83337266870709e+19,4.124817371230718e+19,4.518511039624795e+19,5.534023222107513e+19,5.833372668703657e+19,9.037022079230557e+19,4.124817371231344e+19,0.0,4.8805497317820465e+19,9.223372036823872e+19,8.846747673077975e+19,1.1220716365708603e+20,5.534023222102887e+19,1.0596847695566897e+20,1.2511190542108636e+20,5.534023222105863e+19,6.390139593965131e+19,1.0103697841641713e+20,7.378697629473793e+19,1.3302136324540686e+20,2.608763565065442e+19,8.040749325440311e+19,4.88054973178442e+19,7.144393258900208e+19,6.9021396225189265e+19,9.223372036828896e+19,1.3680471548987389e+20,4.5185110396274975e+19,1.355553311878946e+20,2.6087635650648855e+19,1.5652581390191313e+20,3.1950697969878057e+19,7.144393258910101e+19,1.2511190542106878e+20,4.124817371231963e+19,5.2175271301299634e+19,1.0435054260210082e+20,1.2374452113617696e+20,1.7597072310085858e+20,1.0103697841645062e+20,7.826290695176258e+19
1.521157485290604e+20,1.2236185739228943e+20,1.36804715491125e+20,1.195485650715114e+20,1.4288786517828492e+20,1.368047154911238e+20,1.7597072310360598e+20,1.4641649195348532e+20,1.9434850842701395e+20,0.0,1.7304579824102572e+20,1.7693495346182518e+20,1.8446744073631534e+20,1.380427924504402e+20,1.844674407363099e+20,1.93471084043068e+20,1.4872240533892917e+20,1.521157485290774e+20,1.9347108404341542e+20,1.6081498650906195e+20,1.952219892702871e+20,9.585209390962514e+19,1.6906720208610414e+20,1.3555533118876131e+20,1.788478193615566e+20,1.5652581390372733e+20,1.740262355387031e+20,1.978192917669105e+20,1.1068046444219574e+20,1.9347108404297826e+20,9.037022079256158e+19,2.0291418480836487e+20,8.652289912074163e+19,1.586848926396411e+20,1.978192917673397e+20,1.4288786517827967e+20,1.2236185739230855e+20,1.917041878183123e+20,1.9347108404308414e+20,2.0458428857022883e+20,1.890228783146421e+20,1.690672020861483e+20
