GOOD_BigIntegerMath,GOOD_DoubleMath,GOOD_DoubleUtils,GOOD_ExecutionList,GOOD_ExecutionSequencer,GOOD_FakeTimeLimiter,GOOD_FluentFuture,GOOD_ForwardingBlockingDeque,GOOD_ForwardingBlockingQueue,GOOD_ForwardingExecutorService,GOOD_Funnels,GOOD_HashCode,GOOD_Hasher,GOOD_Hashing,GOOD_HashingInputStream,GOOD_IntMath,GOOD_LinearTransformation,GOOD_LittleEndianByteArray,GOOD_LongAdder,GOOD_LongMath,GOOD_MacHashFunction,GOOD_MathPreconditions,GOOD_MessageDigestHashFunction,GOOD_Murmur3_128HashFunction,GOOD_Murmur3_32HashFunction,GOOD_PairedStats,GOOD_PairedStatsAccumulator,GOOD_Preconditions,GOOD_Predicates,GOOD_Present,GOOD_PrimitiveSink,GOOD_Quantiles,GOOD_SmallCharMatcher,GOOD_Splitter,GOOD_StandardSystemProperty,GOOD_Stats,GOOD_StatsAccumulator,GOOD_Stopwatch,GOOD_Strings,GOOD_Suppliers,GOOD_Throwables,GOOD_ToDoubleRounder,NPE_ArgumentMatchingTool,NPE_BisectionSolver,NPE_BundleRevisionImpl,NPE_CategoryPlot,NPE_ClassUtils,NPE_ClassUtilsTest,NPE_CollatingIterator,NPE_ContentDispositionFilter,NPE_DETECT_CYCLE,NPE_DETECT_CYCLE_TEST,NPE_DatasetUtilities,NPE_DefaultIntervalCategoryDataset,NPE_ExceptionClient,NPE_ExceptionThrower,NPE_FilterListIterator,NPE_Hello,NPE_Invocation,NPE_LocaleUtils,NPE_Matchers,NPE_MathUtils,NPE_Node,NPE_NullReferenceException,NPE_PDAcroForm,NPE_PDAcroFrom2995,NPE_PDICCBased,NPE_Pointers,NPE_PolygonsSet,NPE_PolyhedronsSet,NPE_REVERSE_LINKED_LIST,NPE_REVERSE_LINKED_LIST_TEST,NPE_Resource,NPE_ResourceUser,NPE_Resources,NPE_ReturnsEmptyValues,NPE_RuntimeNullPointer,NPE_SimplexTableau,NPE_StrBuilder,NPE_StringUtils,NPE_SubLine-b,NPE_SubLine,NPE_TypeCheck,NPE_XYPlot
0.0,1.2912720851573698e+20,1.608149865088797e+20,1.7106806702306823e+20,1.4048621740708197e+20,1.7597072310368027e+20,1.576090504544324e+20,1.7205977427023266e+20,1.7402623553865895e+20,1.6906720208598722e+20,1.4169212980357528e+20,1.532301645155731e+20,1.6704237213155407e+20,1.3043817825315894e+20,1.6906720208603333e+20,1.3302136324602025e+20,1.5323016451537247e+20,1.452498080860471e+20,1.5323016451547474e+20,1.0913240967838566e+20,1.5975348984909418e+20,1.710680670229779e+20,1.509931077354592e+20,1.6081498650899825e+20,1.3926986362611705e+20,1.6081498650902662e+20,1.7304579824103673e+20,1.6395824769310917e+20,1.2912720851581459e+20,1.7106806702317758e+20,1.7789395752358232e+20,1.355553311887412e+20,1.487224053387621e+20,1.3680471549110066e+20,1.720597742702531e+20,1.4169212980358996e+20,1.5975348984904322e+20,1.6704237213163877e+20,1.5099310773549783e+20,1.4641649195345157e+20,1.3926986362613357e+20,1.597534898489804e+20,1.7500118006080288e+20,1.6395824769302515e+20,1.3926986362614037e+20,8.846747673113184e+19,1.3926986362613373e+20,1.8074044158434682e+20,1.4757395258938599e+20,1.3804279245046922e+20,1.8630298286775658e+20,1.88120615987187e+20,1.2912720851582683e+20,1.440736769229589e+20,1.9522198926962413e+20,1.9953204486685016e+20,1.5975348984903146e+20,1.7106806702305673e+20,1.4407367692301592e+20,1.6602069666295933e+20,1.554350283922645e+20,1.2646450587115333e+20,1.7979662081693457e+20,2.020739568302004e+20,1.4407367692298635e+20,1.4288786517822815e+20,1.4288786517824342e+20,1.9081460442017192e+20,1.122071636574633e+20,1.3804279245048508e+20,1.872140053316152e+20,1.8354278608764204e+20,1.9258966221943846e+20,1.8812061598704845e+20,1.8630298286806617e+20,1.690672020859989e+20,1.908146044201872e+20,1.3043817825319669e+20,1.1811679407998175e+20,1.0103697841691343e+20,1.7106806702306076e+20,1.5543502839222157e+20,1.010369784168941e+20,7.826290695196438e+19
9.761099463564201e+19,0.0,1.4288786517802094e+20,1.618695223096268e+20,1.2236185739221262e+20,1.618695223096726e+20,1.3680471549102893e+20,1.6395824769306313e+20,1.660206966628327e+20,1.6291723242088926e+20,1.2511190542195635e+20,1.355553311886621e+20,1.6291723242085754e+20,1.122071636573936e+20,1.5323016451536752e+20,1.1519987981708814e+20,1.4524980808588934e+20,1.3043817825311949e+20,1.3804279245035531e+20,9.76109946356755e+19,1.4641649195339604e+20,1.6081498650869498e+20,1.3680471549102455e+20,1.41692129803519e+20,1.1954856507143276e+20,1.4048621740705181e+20,1.5975348984900498e+20,1.5433653386132937e+20,9.93387569918115e+19,1.5868489263952518e+20,1.7597072310353917e+20,1.0596847695593092e+20,1.3680471549093926e+20,1.1519987981709785e+20,1.586848926394093e+20,1.1220716365740386e+20,1.3804279245032645e+20,1.5543502839209473e+20,1.3043817825307173e+20,1.2511190542194516e+20,1.1371336747699074e+20,1.4169212980337412e+20,1.6499269484885813e+20,1.5868489263940754e+20,1.209633902367321e+20,7.378697629481108e+19,1.1666745337409387e+20,1.740262355384498e+20,1.3804279245035898e+20,1.2780279187937827e+20,1.8721400533180508e+20,1.835427860876345e+20,9.933875699182497e+19,1.3173610254183363e+20,1.9258966221906195e+20,1.9867751398147162e+20,1.4986205729494568e+20,1.63958247693047e+20,1.2236185739220733e+20,1.521157485288881e+20,1.36804715491039e+20,1.0756207731018175e+20,1.778939575235048e+20,1.986775139802159e+20,1.2511190542193425e+20,1.2096339023665873e+20,1.2096339023669495e+20,1.872140053317919e+20,8.65228991206864e+19,1.1519987981712355e+20,1.8721400533170065e+20,1.7789395752331998e+20,1.8902287831408896e+20,1.8261344955352652e+20,1.82613449553653e+20,1.5652581390350847e+20,1.8630298286782608e+20,1.0270712426372938e+20,9.933875699185928e+19,7.378697629480894e+19,1.6291723242080204e+20,1.440736769229401e+20,8.846747673114092e+19,6.118092869619004e+19
7.378697629476588e+19,8.652289912060099e+19,0.0,1.342943239555859e+20,9.933875699175113e+19,1.4288786517810327e+20,1.1068046444203385e+20,1.4641649195323366e+20,1.4757395258922879e+20,1.4169212980338865e+20,9.76109946356256e+19,1.0913240967832027e+20,1.4288786517804737e+20,8.84674767310289e+19,1.2780279187915325e+20,9.037022079241834e+19,1.1519987981694753e+20,1.0103697841683615e+20,1.2096339023666479e+20,7.605787426455819e+19,1.181167940798549e+20,1.3804279245016742e+20,1.10680464442042e+20,1.1954856507138482e+20,1.0103697841680735e+20,1.1068046444207558e+20,1.3429432395570495e+20,1.2511190542180857e+20,8.453360104316323e+19,1.2780279187918973e+20,1.5211574852872356e+20,8.453360104313153e+19,1.1519987981701931e+20,9.037022079243937e+19,1.4048621740687734e+20,9.585209390951052e+19,1.2096339023660584e+20,1.3302136324587014e+20,9.761099463558175e+19,1.010369784167871e+20,9.406030799396962e+19,1.2236185739208897e+20,1.3926986362585445e+20,1.3804279245017958e+20,9.58520939095099e+19,5.2175271301322785e+19,9.0370220792448e+19,1.5975348984875205e+20,1.1068046444203665e+20,9.03702207924413e+19,1.7500118006024625e+20,1.720597742699841e+20,7.605787426452981e+19,1.0596847695589178e+20,1.872140053313341e+20,1.917041878169862e+20,1.2646450587107023e+20,1.4986205729489332e+20,1.0103697841678962e+20,1.223618573920566e+20,1.1954856507141217e+20,8.249634742455865e+19,1.6186952230948487e+20,1.969573299666523e+20,1.059684769558938e+20,1.0435054260248814e+20,9.761099463562122e+19,1.7693495346118803e+20,8.040749325458697e+19,9.761099463566488e+19,1.7693495346110087e+20,1.6805783663417252e+20,1.8074044158384862e+20,1.750011800604452e+20,1.720597742699498e+20,1.4169212980340428e+20,1.7304579824031328e+20,9.585209390956116e+19,7.826290695193177e+19,5.833372668711091e+19,1.392698636258763e+20,1.1519987981704965e+20,7.144393258918346e+19,3.6893488147409244e+19
6.651068162303298e+19,7.826290695188216e+19,1.1371336747684626e+20,0.0,6.902139622516241e+19,1.1811679407972552e+20,9.761099463563608e+19,1.3555533118848744e+20,1.3804279245022383e+20,1.2511190542179998e+20,9.22337203684068e+19,9.223372036836567e+19,1.4169212980337494e+20,7.82629069519327e+19,1.151998798170239e+20,7.605787426448207e+19,1.0270712426354085e+20,8.453360104313129e+19,9.933875699176037e+19,6.118092869613129e+19,9.406030799389512e+19,1.2511190542172158e+20,9.223372036833201e+19,1.01036978416798e+20,9.037022079251692e+19,1.0103697841678675e+20,1.209633902365851e+20,1.1666745337395829e+20,7.378697629473819e+19,1.0913240967819108e+20,1.543365338612712e+20,7.378697629475572e+19,1.0103697841672915e+20,7.826290695191767e+19,1.3173610254168952e+20,7.144393258914836e+19,9.585209390940964e+19,1.1519987981704839e+20,9.2233720368429e+19,8.846747673099256e+19,6.651068162302244e+19,1.122071636572624e+20,1.3043817825293243e+20,1.2236185739195089e+20,8.652289912065332e+19,4.518511039628168e+19,8.24963474245991e+19,1.3926986362559714e+20,1.027071242636162e+20,9.037022079250188e+19,1.608149865082421e+20,1.5652581390321906e+20,7.605787426456481e+19,8.846747673104708e+19,1.74026235537509e+20,1.863029828669163e+20,1.0596847695580668e+20,1.2780279187916594e+20,8.846747673105125e+19,1.1068046444196651e+20,1.122071636573974e+20,8.453360104315585e+19,1.4524980808559534e+20,1.899208542848139e+20,9.037022079244311e+19,9.037022079243623e+19,8.846747673108539e+19,1.6602069666225678e+20,5.534023222106499e+19,9.223372036843487e+19,1.6805783663381122e+20,1.464164919528951e+20,1.680578366336984e+20,1.6081498650841534e+20,1.5975348984864116e+20,1.2511190542181125e+20,1.6291723242021906e+20,7.144393258916551e+19,6.651068162306865e+19,4.518511039627466e+19,1.2780279187911144e+20,1.0596847695584192e+20,6.118092869616372e+19,4.518511039627451e+19
1.264645058711984e+20,1.4048621740711679e+20,1.6081498650886858e+20,1.608149865087699e+20,0.0,1.6395824769312807e+20,1.392698636260686e+20,1.6906720208596858e+20,1.7304579824096448e+20,1.6499269484896833e+20,1.3926986362613583e+20,1.3804279245041444e+20,1.7402623553877072e+20,1.2374452113690737e+20,1.6081498650888248e+20,1.404862174070795e+20,1.5652581390361546e+20,1.3302136324600549e+20,1.5211574852896126e+20,1.237445211369398e+20,1.4757395258937015e+20,1.6906720208587856e+20,1.3804279245036374e+20,1.4872240533886825e+20,1.342943239558742e+20,1.4757395258938794e+20,1.670423721316388e+20,1.6081498650888647e+20,1.181167940799356e+20,1.5975348984897248e+20,1.853874835548114e+20,1.317361025418893e+20,1.4524980808591545e+20,1.3555533118869843e+20,1.6602069666284647e+20,1.2374452113684573e+20,1.4641649195329048e+20,1.5975348984899833e+20,1.4169212980352424e+20,1.355553311886653e+20,1.237445211368882e+20,1.5868489263951462e+20,1.710680670230505e+20,1.6805783663447455e+20,1.2912720851582096e+20,8.2496347424685e+19,1.2236185739222709e+20,1.769349534615474e+20,1.4524980808596872e+20,1.2780279187935243e+20,1.9258966221969002e+20,1.8902287831461442e+20,1.2096339023672171e+20,1.3429432395582136e+20,1.9347108404248615e+20,2.020739568314961e+20,1.532301645154541e+20,1.710680670231109e+20,1.3173610254183435e+20,1.649926948490334e+20,1.543365338615183e+20,1.317361025418827e+20,1.797966208169761e+20,2.003829316463676e+20,1.4288786517823177e+20,1.4288786517824776e+20,1.368047154910848e+20,1.9081460442023913e+20,1.0913240967840124e+20,1.2236185739225634e+20,1.917041878179367e+20,1.8261344955373194e+20,1.9522198927012587e+20,1.8992085428726684e+20,1.8538748355441417e+20,1.6602069666288406e+20,1.9081460442025083e+20,1.1519987981715097e+20,1.1811679407999617e+20,9.223372036850349e+19,1.67042372131543e+20,1.554350283922311e+20,1.0103697841690285e+20,6.390139593976008e+19
9.037022079247909e+19,1.0756207731017936e+20,1.2912720851566563e+20,1.3555533118847328e+20,8.24963474245446e+19,0.0,8.45336010431022e+19,1.3173610254165695e+20,1.3429432395565885e+20,1.19548565071314e+20,9.223372036836644e+19,8.652289912060541e+19,1.3429432395566912e+20,8.846747673106612e+19,1.2374452113674489e+20,1.0756207731014905e+20,1.223618573921051e+20,9.93387569918229e+19,1.1068046444199515e+20,8.652289912063297e+19,1.0435054260246769e+20,1.3926986362580038e+20,9.406030799391642e+19,1.1068046444205923e+20,9.58520939095252e+19,1.1371336747699575e+20,1.4048621740701026e+20,1.3429432395573721e+20,7.144393258915307e+19,1.2511190542183295e+20,1.5211574852877255e+20,9.761099463567034e+19,1.1519987981702442e+20,9.223372036842488e+19,1.428878651780469e+20,9.761099463565976e+19,1.195485650713109e+20,1.3804279245031897e+20,1.0756207731011348e+20,8.249634742455824e+19,8.04074932545344e+19,1.1666745337397404e+20,1.4288786517797349e+20,1.3429432395561517e+20,8.652289912065122e+19,4.518511039628111e+19,8.84674767310251e+19,1.509931077350728e+20,1.0756207731011823e+20,9.585209390952944e+19,1.7693495346124502e+20,1.639582476928019e+20,9.223372036845804e+19,1.0103697841679183e+20,1.8074044158344387e+20,1.8992085428610964e+20,1.1519987981702544e+20,1.4169212980344381e+20,9.933875699180885e+19,1.3302136324592968e+20,1.181167940799278e+20,9.933875699181509e+19,1.5543502839186116e+20,1.9522198926807833e+20,1.0270712426365918e+20,1.0596847695591255e+20,9.93387569918267e+19,1.7106806702247156e+20,7.826290695194169e+19,9.037022079246236e+19,1.788478193608675e+20,1.6081498650854906e+20,1.7500118006015892e+20,1.6805783663403844e+20,1.6704237213126063e+20,1.4048621740696576e+20,1.7007057707869258e+20,7.826290695191211e+19,7.605787426459102e+19,5.833372668710575e+19,1.392698636258781e+20,1.1519987981703761e+20,7.144393258915918e+19,3.689348814740766e+19
1.1519987981716169e+20,1.291272085157729e+20,1.5760905045428745e+20,1.5099310773524516e+20,1.1666745337408196e+20,1.4641649195324334e+20,0.0,1.509931077352398e+20,1.5652581390347364e+20,1.4641649195323397e+20,1.181167940798724e+20,1.291272085157663e+20,1.5211574852879784e+20,1.1220716365739049e+20,1.5099310773534097e+20,1.3173610254182872e+20,1.3926986362593169e+20,1.304381782531075e+20,1.4048621740700597e+20,1.1811679407997041e+20,1.404862174070113e+20,1.5868489263932618e+20,1.3043817825306739e+20,1.3680471549100602e+20,1.2096339023671208e+20,1.4048621740706603e+20,1.597534898489991e+20,1.509931077353462e+20,1.0435054260253634e+20,1.428878651780184e+20,1.670423721314529e+20,1.2780279187940213e+20,1.3926986362599091e+20,1.1954856507143725e+20,1.5975348984890307e+20,1.2511190542200549e+20,1.4048621740697595e+20,1.5099310773537047e+20,1.3302136324599176e+20,1.1220716365739649e+20,1.1068046444208687e+20,1.4641649195324858e+20,1.5975348984885022e+20,1.5323016451528373e+20,1.2374452113691643e+20,8.040749325461943e+19,1.1954856507141351e+20,1.6704237213128973e+20,1.3555533118863314e+20,1.2912720851580289e+20,1.8167935928680147e+20,1.7789395752332064e+20,1.075620773102031e+20,1.2096339023668308e+20,1.8902287831366536e+20,1.986775139815236e+20,1.3926986362597042e+20,1.608149865088128e+20,1.2646450587116249e+20,1.5433653386139107e+20,1.4169212980357479e+20,1.3043817825317359e+20,1.6805783663419684e+20,2.003829316464464e+20,1.3043817825308993e+20,1.3043817825309234e+20,1.3429432395585724e+20,1.8446744073581052e+20,9.761099463569279e+19,1.1954856507146925e+20,1.8538748355406234e+20,1.73045798240586e+20,1.8354278608716156e+20,1.8167935928700233e+20,1.7884781936107736e+20,1.554350283920963e+20,1.8261344955337313e+20,1.075620773102081e+20,1.075620773102408e+20,8.040749325462674e+19,1.498620572947559e+20,1.3555533118861764e+20,8.84674767311176e+19,6.390139593975341e+19
7.605787426457716e+19,8.249634742460149e+19,1.0756207731000328e+20,1.2780279187914238e+20,8.249634742459441e+19,1.137133674768717e+20,7.605787426450149e+19,0.0,6.902139622505593e+19,9.406030799383739e+19,6.118092869605648e+19,8.249634742456274e+19,1.1519987981692363e+20,7.144393258911664e+19,1.1068046444193854e+20,9.22337203684157e+19,1.0103697841661923e+20,8.45336010431606e+19,9.037022079239261e+19,7.3786976294763495e+19,9.585209390944674e+19,1.2646450587089348e+20,8.249634742451852e+19,8.84674767310181e+19,6.651068162301546e+19,9.761099463564026e+19,1.2780279187922467e+20,1.1220716365722165e+20,7.378697629473899e+19,1.0596847695573813e+20,1.3302136324574713e+20,7.605787426454502e+19,9.406030799382066e+19,8.040749325455665e+19,1.2780279187912512e+20,7.826290695190867e+19,1.0270712426357246e+20,1.1954856507130179e+20,9.933875699178845e+19,6.902139622517878e+19,6.390139593971212e+19,1.075620773100092e+20,1.3555533118842746e+20,1.1954856507123314e+20,7.378697629474413e+19,4.880549731787129e+19,8.249634742457854e+19,1.4169212980308641e+20,8.84674767310259e+19,8.453360104314593e+19,1.6499269484830746e+20,1.639582476928196e+20,7.826290695191249e+19,8.249634742455942e+19,1.7597072310245107e+20,1.872140053308731e+20,9.93387569916907e+19,1.4288786517804753e+20,8.846747673107508e+19,1.181167940797753e+20,1.0596847695592071e+20,9.223372036842922e+19,1.5211574852862018e+20,1.8902287831202375e+20,8.45336010431076e+19,8.040749325453636e+19,8.846747673104964e+19,1.6081498650813442e+20,4.518511039627175e+19,7.826290695186922e+19,1.7007057707868812e+20,1.586848926391913e+20,1.7205977426963975e+20,1.6499269484852756e+20,1.6291723242051695e+20,1.317361025416772e+20,1.5975348984826715e+20,7.1443932589170475e+19,6.118092869615711e+19,4.5185110396271034e+19,1.3043817825291964e+20,1.0756207731010391e+20,4.88054973178603e+19,2.6087635650658333e+19
6.902139622526465e+19,7.605787426452562e+19,1.0435054260236014e+20,1.2096339023647582e+20,7.144393258909985e+19,1.0756207731006307e+20,6.390139593963912e+19,4.88054973176143e+19,0.0,9.22337203683906e+19,6.11809286960397e+19,7.82629069518507e+19,1.151998798169186e+20,6.118092869609535e+19,1.0270712426357254e+20,8.652289912063182e+19,9.933875699168438e+19,7.8262906951891e+19,8.652289912050177e+19,6.651068162304086e+19,9.037022079238316e+19,1.2236185739192294e+20,7.605787426444191e+19,8.249634742455381e+19,6.118092869608443e+19,9.223372036841569e+19,1.2374452113675977e+20,1.1068046444191955e+20,6.651068162304281e+19,9.933875699161825e+19,1.3302136324573553e+20,7.378697629474284e+19,9.585209390939472e+19,7.378697629473558e+19,1.2374452113666128e+20,7.378697629474009e+19,1.010369784166926e+20,1.1068046444195268e+20,9.406030799392116e+19,6.118092869607446e+19,5.833372668705749e+19,1.0270712426353569e+20,1.3173610254157711e+20,1.1220716365714861e+20,6.6510681623048634e+19,4.518511039627851e+19,7.826290695186111e+19,1.3926986362564184e+20,8.249634742453862e+19,7.826290695191642e+19,1.639582476924764e+20,1.5868489263918318e+20,7.605787426456122e+19,7.826290695184895e+19,1.730457982397972e+20,1.8446744073488754e+20,9.03702207923534e+19,1.3680471549091072e+20,8.249634742460385e+19,1.1220716365723786e+20,1.0103697841681834e+20,8.4533601043129e+19,1.4524980808558967e+20,1.899208542849161e+20,8.249634742456345e+19,7.826290695187156e+19,8.249634742459544e+19,1.5543502839134028e+20,4.8805497317855306e+19,6.651068162301273e+19,1.660206966621474e+20,1.5433653386102558e+20,1.6704237213090025e+20,1.6186952230922253e+20,1.608149865085382e+20,1.2646450587097154e+20,1.5543502839136036e+20,6.651068162307793e+19,5.833372668709005e+19,4.5185110396271034e+19,1.2374452113662049e+20,1.0103697841674137e+20,4.518511039626809e+19,2.6087635650658333e+19
9.223372036845604e+19,9.933875699182826e+19,1.2646450587100498e+20,1.4169212980339976e+20,7.605787426451476e+19,1.0756207731002763e+20,8.249634742457608e+19,1.1371336747681066e+20,1.1371336747685375e+20,0.0,8.652289912060935e+19,9.406030799395403e+19,1.2511190542181286e+20,8.652289912063186e+19,1.251119054218687e+20,1.0596847695592895e+20,1.2374452113679303e+20,9.406030799397732e+19,1.1220716365730793e+20,8.84674767310838e+19,1.0756207731009638e+20,1.3302136324570187e+20,1.010369784167502e+20,1.0756207731014869e+20,8.846747673106324e+19,1.1954856507143194e+20,1.3926986362599316e+20,1.2374452113671632e+20,7.826290695191242e+19,1.2374452113671822e+20,1.487224053386647e+20,9.037022079249547e+19,1.1068046444202959e+20,9.223372036843006e+19,1.4169212980334331e+20,9.585209390952831e+19,1.2236185739211935e+20,1.3555533118856865e+20,1.1068046444206832e+20,9.037022079247422e+19,8.652289912064618e+19,1.223618573920788e+20,1.4407367692275433e+20,1.3302136324580517e+20,8.249634742463254e+19,5.217527130130962e+19,9.22337203684231e+19,1.4407367692249371e+20,1.0756207731015226e+20,9.406030799397698e+19,1.7106806702250092e+20,1.639582476928017e+20,9.223372036844608e+19,9.223372036838798e+19,1.797966208160364e+20,1.90814604419288e+20,1.1220716365730826e+20,1.4872240533875507e+20,9.933875699183213e+19,1.3555533118857848e+20,1.2096339023673521e+20,1.010369784168311e+20,1.5211574852857407e+20,1.9347108404088377e+20,9.933875699181534e+19,9.933875699183721e+19,1.0435054260252813e+20,1.6602069666218407e+20,5.217527130130341e+19,8.652289912064272e+19,1.730457982402652e+20,1.597534898486458e+20,1.750011800601686e+20,1.7304579824058732e+20,1.6906720208570047e+20,1.3804279245026453e+20,1.6906720208531653e+20,8.040749325459762e+19,8.453360104320247e+19,6.118092869617864e+19,1.3555533118841143e+20,1.1666745337405856e+20,6.902139622528673e+19,3.689348814740586e+19
